Artist,Song,Days in top10,Peak,Days on peak,Days,PkStreams,Total
Ak4:20,Me Arrepentí,,53,1,22,"1,290,787","20,945,756"
Twenty One Pilots,Jumpsuit,,32,1,24,"1,848,577","20,945,621"
Drake,Peak,,18,1,15,"4,093,580","20,944,415"
W Sound,Soltera - W Sound 01,,135,1,15,"1,625,097","20,940,080"
Lana Del Rey,Doin' Time,,55,1,25,"1,359,222","20,938,432"
Montez,Auf & Ab,,127,1,26,"931,195","20,934,156"
Kygo,Stranger Things,,128,1,36,"684,167","20,916,826"
Lil Uzi Vert,Futsal Shuffle 2020 - Bonus Track,,54,1,21,"1,473,228","20,900,548"
Bazzi,Focus,,86,1,28,"1,062,852","20,884,227"
Ne-Yo,She Knows,,73,1,87,"380,435","20,874,160"
Jennifer Lopez,Ni Tú Ni Yo,,117,1,44,"634,447","20,871,885"
Tiësto,Lay Low,,165,1,18,"1,277,350","20,859,202"
IU,eight(Prod.&Feat. SUGA of BTS),,30,1,23,"1,858,886","20,839,933"
Post Malone,Mourning,,30,1,13,"2,484,741","20,835,300"
Céline Dion,Happy Xmas (War Is Over),,97,1,19,"2,184,207","20,827,111"
Fall Out Boy,Irresistible,,96,1,69,"388,026","20,820,255"
Bad Bunny,MÁS DE UNA CITA,,18,1,19,"2,639,076","20,804,462"
Morgan Wallen,One Thing At A Time,,41,1,15,"2,214,902","20,769,410"
Lil Uzi Vert,Silly Watch,,15,1,14,"3,461,779","20,764,196"
Mr. Probz,Nothing Really Matters - Afrojack Remix,,23,1,45,"765,368","20,755,525"
Kanye West,No Child Left Behind,,18,1,12,"3,881,452","20,754,175"
DaBaby,INTRO,,31,1,22,"1,871,751","20,744,218"
Playboi Carti,BACKD00R,,13,1,8,"5,523,965","20,728,831"
Dillon Francis,Coming Over,,77,1,71,"433,203","20,724,167"
DJ Khaled,EVERY CHANCE I GET,,70,1,25,"1,281,299","20,722,825"
CAZZETTE,Blind Heart,,56,1,74,"431,411","20,716,288"
MAX,Love Me Less,,124,1,29,"853,575","20,715,847"
thasup,blun7 a swishland,,56,1,23,"1,313,036","20,697,646"
Yandel,CANCIÓN CON YANDEL,,19,1,19,"2,561,376","20,686,748"
Melanie Martinez,VOID,,33,1,14,"2,509,255","20,673,640"
Billie Eilish,Oxytocin,,21,1,16,"2,672,258","20,669,108"
Monsieur Periné,Nuestra Canción,,76,1,22,"1,154,077","20,665,986"
Eminem,Unaccommodating,,12,1,14,"3,796,970","20,652,019"
Rich Music LTD,Quizás,,65,1,21,"1,164,797","20,643,988"
Childish Gambino,Feels Like Summer,,88,1,28,"935,279","20,642,639"
Paulo Londra,Solo Pienso En Ti,,108,1,29,"972,523","20,617,670"
Justin Timberlake,Mirrors,,130,1,111,"734,319","20,616,302"
Martin Jensen,All I Wanna Do,,138,1,64,"385,704","20,590,456"
Drake,Ice Melts,,40,1,23,"2,001,730","20,562,467"
Taylor Swift,Miss Americana & The Heartbreak Prince,,15,1,15,"3,047,195","20,560,966"
"Tyler, The Creator",Big Poe,2.0,2,1,8,"5,503,942","20,517,684"
Taylor Swift,How You Get The Girl (Taylor's Version),,17,1,8,"6,514,144","20,502,655"
Thiaguinho MT,Tudo Ok,,96,1,26,"1,084,284","20,490,685"
Residente,René,,39,1,16,"2,069,057","20,475,885"
Grupo Menos É Mais,Lapada Dela - Ao Vivo,,102,1,17,"1,412,948","20,456,104"
Adele,Make You Feel My Love,,67,1,46,"1,337,545","20,448,867"
"Tyler, The Creator",I Killed You,,12,1,8,"5,652,514","20,446,276"
Drake,9,,57,1,43,"839,270","20,445,759"
Jay Sean,Make My Love Go,,109,1,56,"465,194","20,441,297"
Disturbed,The Sound Of Silence,,147,1,68,"348,301","20,439,629"
Zedd,Beautiful Now,,74,1,68,"422,772","20,425,148"
Luísa Sonza,Chico,,27,1,13,"2,356,391","20,410,949"
Little Mix,Hair,,109,1,63,"382,144","20,390,612"
Agust D,People Pt.2,,22,1,13,"2,969,905","20,369,088"
Fetty Wap,Jimmy Choo,,109,1,62,"396,713","20,352,938"
The Weeknd,Here We Go… Again,,14,1,13,"3,797,653","20,349,067"
Felipe e Rodrigo,Gosta De Rua - Ao Vivo,,82,1,14,"1,824,461","20,343,148"
BTS,IDOL,,38,1,27,"1,573,462","20,342,559"
Eminem,Habits,,12,1,8,"5,210,175","20,326,479"
Taylor Swift,I Know Places (Taylor's Version),,19,1,8,"6,120,560","20,321,369"
Post Malone,Im Gonna Be,,18,1,10,"3,325,675","20,316,233"
The Game,Eazy,,13,1,14,"2,362,768","20,316,169"
The Weeknd,Wake Me Up,,12,1,8,"4,691,437","20,304,616"
21 Savage,all of me,,12,1,11,"3,757,410","20,302,632"
Ariana Grande,Bad To You,,29,1,18,"1,895,344","20,299,137"
Taylor Swift,I Think He Knows,,13,1,15,"3,074,896","20,293,823"
Mac Miller,Blue World,,26,1,15,"2,945,764","20,288,775"
Jung Kook,Hate You,,16,1,11,"3,457,155","20,255,908"
The Weeknd,Best Friends,,16,1,13,"3,601,891","20,241,292"
Travis Scott,CIRCUS MAXIMUS,,16,1,8,"5,645,295","20,203,660"
Drake,Treacherous Twins,,13,1,9,"4,951,361","20,182,810"
System Of A Down,Chop Suey!,,174,1,16,"1,379,524","20,148,223"
XXXTENTACION,Depression & Obsession,,34,1,28,"1,942,770","20,119,642"
Pharrell Williams,Freedom,,68,1,67,"444,366","20,118,460"
Miley Cyrus,End of the World,,33,1,13,"2,589,116","20,117,281"
The Citizens of Halloween,This Is Halloween,1.0,6,1,11,"5,313,835","20,109,384"
Vigiland,Pong Dance,,98,1,58,"461,481","20,095,286"
Miley Cyrus,Wrecking Ball,,127,1,113,"1,043,790","20,079,625"
XXXTENTACION,going down!,,48,1,23,"1,455,959","20,058,315"
Drake,Skepta Interlude,,27,1,19,"2,387,259","20,055,657"
JC NO BEAT,Maria Mariah,,54,1,14,"1,832,415","20,053,870"
Kanye West,Everything We Need,,11,1,12,"3,485,609","20,048,663"
GIVĒON,TWENTIES,,100,1,14,"1,724,507","20,044,202"
MC Xenon,Sem Aliança no Dedo,,121,1,17,"1,349,029","20,037,726"
21 Savage,all my friends,,38,1,23,"1,795,646","20,014,082"
Kendrick Lamar,The Heart Part 5,1.0,4,1,9,"5,012,575","20,012,726"
Metro Boomin,Umbrella,,31,1,11,"2,690,393","20,012,374"
Jonas Blue,Polaroid,,133,1,32,"879,565","20,012,101"
BTS,The Planet,,19,1,12,"2,956,589","20,006,377"
Taylor Swift,happiness,1.0,9,1,11,"4,448,147","19,997,982"
The Lumineers,Ho Hey,,126,1,123,"199,628","19,988,664"
Romeo Santos,Propuesta Indecente,,122,1,124,"210,119","19,978,526"
BTS,Make It Right,,17,1,18,"2,600,135","19,929,959"
Lil Nas X,SCOOP,,16,1,15,"3,006,333","19,929,323"
Lauv,Modern Loneliness,,100,1,24,"1,037,958","19,927,532"
N.E.R.D,Lemon,,54,1,30,"1,239,390","19,921,492"
SZA,Ghost in the Machine,,28,1,12,"3,048,464","19,919,537"
Taylor Swift,Run,,23,1,13,"3,004,874","19,918,478"
Sabrina Carpenter,Lie To Girls,,34,1,11,"2,901,107","19,910,119"
Shakira,Copa Vacía,,50,1,14,"2,202,131","19,900,980"
Playboi Carti,TOXIC,,18,1,8,"5,046,118","19,881,033"
Train,"Hey, Soul Sister",,155,1,15,"1,430,194","19,880,668"
Summer Walker,Playing Games,,47,1,24,"1,481,635","19,857,643"
Sam Smith,Lay Me Down,,23,1,57,"738,308","19,834,465"
Beyoncé,16 CARRIAGES,,23,1,11,"3,296,064","19,818,036"
Travis Scott,SKITZO,,18,1,8,"5,220,077","19,785,588"
Coldplay,Fix You,,105,1,87,"1,233,478","19,782,032"
Pretenders,2000 Miles - 2007 Remaster,,65,1,14,"2,193,681","19,776,716"
Zé Felipe,Vacilão,,63,1,15,"1,890,084","19,774,379"
Jowell & Randy,Anaranjado,,168,1,30,"725,418","19,772,258"
Twenty One Pilots,The Line (from the series Arcane League of Legends),,68,1,11,"2,126,081","19,770,008"
Drake,Is There More,,16,1,14,"4,310,793","19,767,044"
Bizarrap,"Eladio Carrion: Bzrp Music Sessions, Vol. 40",,91,1,22,"1,221,804","19,765,540"
Taylor Swift,peace,,20,1,14,"3,381,893","19,764,942"
Don Toliver,Private Landing,,70,1,15,"1,632,927","19,753,160"
Raaban,Samsara,,83,1,76,"364,184","19,751,606"
Kanye West,Wash Us In The Blood,,26,1,17,"1,900,497","19,738,291"
Wiz Khalifa,Bake Sale,,86,1,66,"458,581","19,731,094"
Bad Bunny,Chambea,,119,1,32,"760,841","19,729,888"
Alessandra,Queen of Kings,,28,1,12,"2,267,127","19,729,276"
Jack Harlow,Churchill Downs,,40,1,15,"2,536,155","19,718,510"
Angelina Mango,La noia,,65,1,13,"1,930,245","19,705,150"
Travis Scott,The Plan,,46,1,20,"1,599,720","19,699,886"
Redfoo,New Thang,,70,1,66,"425,538","19,688,174"
Arcane,The Line (from the series Arcane League of Legends),,99,1,13,"1,731,498","19,687,480"
Paul Rosenberg,Paul - Skit,,20,1,17,"2,783,608","19,687,028"
Taylor Swift,Wonderland (Taylor's Version),,21,1,8,"5,937,519","19,653,931"
Lil Wayne,Dedicate,1.0,5,1,14,"4,257,774","19,646,409"
Zé Felipe,Facilita Aí,,58,1,14,"1,879,039","19,639,777"
Calvin Harris,Pray to God,,115,1,92,"265,494","19,607,363"
Drake,Fear Of Heights,1.0,7,1,7,"6,339,027","19,561,691"
Labrinth,Jealous,,69,1,68,"362,617","19,549,957"
Ariana Grande,Beauty and the Beast,,104,1,34,"742,160","19,545,683"
Vishal-Shekhar,Jhoome Jo Pathaan,,97,1,17,"1,250,228","19,531,809"
Cher,DJ Play A Christmas Song,,47,1,8,"3,993,981","19,507,353"
Taylor Swift,Only The Young - Featured in Miss Americana,,61,1,19,"1,301,789","19,504,121"
Manu,Daqui pra Sempre,,71,1,15,"1,540,366","19,493,730"
Ice Spice,Think U The Shit (Fart),,92,1,14,"1,607,470","19,490,641"
The Weeknd,Faith,,16,1,14,"3,497,191","19,488,744"
The Weeknd,Reflections Laughing,,24,1,9,"3,245,834","19,483,315"
Bing Crosby,Mele Kalikimaka - Single Version,,68,1,13,"2,747,450","19,479,598"
Eminem,Somebody Save Me,,42,1,11,"2,834,801","19,467,372"
The Weeknd,Snowchild,,11,1,14,"3,857,698","19,447,327"
Offset,Legacy,,44,1,20,"1,619,998","19,410,192"
SZA,SOS,,13,1,11,"3,935,185","19,394,240"
Drake,Middle of the Ocean,,15,1,9,"4,672,123","19,388,555"
Cardi B,Press,,19,1,19,"2,222,591","19,383,056"
Young Thug,Sin,,90,1,28,"914,285","19,380,661"
Adele,All Night Parking,,15,1,12,"3,677,077","19,377,191"
Adele,Hold On,,17,1,12,"3,603,376","19,373,667"
Nicki Minaj,Barbie Dreams,,27,1,22,"1,772,927","19,372,581"
Lil Wayne,What About Me,,16,1,14,"3,055,796","19,344,033"
mgk,forget me too,,38,1,20,"1,800,530","19,290,352"
Chris Brown,Back To Sleep,,127,1,73,"349,202","19,289,177"
"Tyler, The Creator",Balloon,,22,1,9,"4,023,496","19,288,810"
Sleep Token,Emergence,,61,1,12,"2,484,305","19,270,142"
Melanie Thornton,Wonderful Dream (Holidays Are Coming) - Radio Version,,70,1,11,"3,070,332","19,260,667"
The Weeknd,Tell Your Friends,,45,1,56,"689,338","19,255,789"
Sleepy Hallow,Deep End Freestyle,,67,1,23,"1,137,498","19,249,385"
Frank Ocean,White Ferrari,,169,1,15,"1,382,689","19,246,493"
Carly Rae Jepsen,Run Away With Me,,98,1,73,"318,580","19,243,939"
Palisades,Happy,,101,1,106,"337,928","19,240,588"
Metro Boomin,On Time,,44,1,12,"2,327,025","19,236,586"
Nicki Minaj,Needle,,43,1,12,"2,370,189","19,203,145"
Jorge & Mateus,Lance Individual,,103,1,25,"965,588","19,192,658"
Ariana Grande,Let Me Love You,,75,1,49,"615,137","19,172,140"
Kanye West,Ultralight Beam,,47,1,37,"913,827","19,155,404"
Taylor Swift,Cornelia Street,,23,1,15,"2,751,051","19,154,120"
Post Malone,I Know,,31,1,16,"2,464,079","19,116,112"
Avril Lavigne,Head Above Water,,118,1,28,"829,062","19,106,794"
Headie One,Ain't It Different,,115,1,27,"947,103","19,099,154"
Kendrick Lamar,The Heart Part 4,,35,1,22,"1,713,092","19,094,577"
Kep1er,WA DA DA,,146,1,24,"842,079","19,091,955"
"Tyler, The Creator",I'll Take Care of You,,20,1,10,"3,449,312","19,082,849"
PARTYNEXTDOOR,CN TOWER,,14,1,10,"4,583,567","19,075,344"
Vishal-Shekhar,"Besharam Rang (From ""Pathaan"")",,117,1,18,"1,154,276","19,072,836"
Eminem,Fuel,,22,1,9,"3,675,046","19,055,993"
Bad Bunny,NO ME QUIERO CASAR,,23,1,10,"4,969,507","19,051,248"
Kanye West,God Breathed,1.0,7,1,9,"5,301,650","19,029,291"
DJ Khaled,I DID IT,,36,1,16,"1,873,164","19,011,336"
Paul Russell,Lil Boo Thang,,89,1,16,"1,646,223","19,007,802"
Kesha,Holiday Road - Spotify Singles Holiday,,54,1,8,"4,429,963","18,991,604"
James Arthur,Can I Be Him,,129,1,37,"565,507","18,970,013"
Future,Mask Off - Remix,,61,1,25,"1,162,824","18,963,403"
Summer Walker,Girls Need Love,,86,1,24,"1,140,695","18,960,599"
Kendrick Lamar,Purple Hearts,,11,1,9,"5,495,450","18,954,085"
Juice WRLD,Fighting Demons,,17,1,14,"3,299,428","18,944,270"
The Weeknd,Acquainted,,50,1,54,"643,024","18,923,538"
K/DA,POP/STARS,,79,1,23,"1,102,240","18,919,213"
Bad Bunny,<3,,38,1,16,"2,320,117","18,896,754"
j-hope,Arson,,15,1,15,"2,805,439","18,891,092"
Taylor Swift,State Of Grace (Taylor's Version),,12,1,12,"4,058,851","18,859,436"
Ozuna,Fantasía,,74,1,25,"1,094,078","18,853,463"
Taylor Swift,London Boy,,25,1,15,"2,708,555","18,851,220"
Léo Foguete,Cópia Proibida,,79,1,13,"1,893,177","18,846,144"
Drake,Can't Have Everything,,31,1,19,"2,255,125","18,845,199"
Kanye West,Ok Ok,1.0,5,1,10,"6,389,438","18,826,882"
BTS,Mikrokosmos,,14,1,16,"2,695,389","18,801,822"
Katy Perry,Rise,,93,1,46,"554,896","18,801,606"
Tate McRae,feel like shit,,93,1,20,"1,424,863","18,800,348"
The Weeknd,Real Life,,33,1,48,"805,579","18,793,392"
A$AP Rocky,Babushka Boi,,35,1,20,"1,755,635","18,785,599"
J. Cole,l e t . g o . m y . h a n d,,12,1,11,"4,560,847","18,783,551"
Vince Guaraldi Trio,Christmas Time Is Here - Vocal,,31,1,18,"2,094,815","18,764,021"
Labrinth,When I R.I.P.,,135,1,23,"862,257","18,726,515"
Måneskin,MAMMAMIA,,24,1,16,"2,223,850","18,725,210"
Lady Gaga,I'll Never Love Again - Film Version,,128,1,29,"808,165","18,720,638"
R3HAB,I Just Can't,,145,1,37,"592,168","18,715,601"
Taylor Swift,You Are In Love (Taylor's Version),,25,1,8,"5,546,132","18,710,210"
mgk,maybe,,31,1,16,"1,805,075","18,689,268"
Vance Joy,Mess Is Mine,,82,1,85,"318,472","18,687,626"
Kygo,Kids in Love,,44,1,22,"1,520,759","18,685,244"
Maroon 5,Help Me Out,,73,1,27,"1,005,643","18,671,459"
KAROL G,UNA NOCHE EN MEDELLÍN - REMIX,,49,1,14,"2,124,329","18,651,957"
BTS,Dream Glow (BTS World Original Soundtrack) - Pt. 1,,23,1,21,"2,016,564","18,648,089"
Daddy Yankee,Sígueme Y Te Sigo,,140,1,88,"304,536","18,638,766"
Future,Comin Out Strong,,65,1,28,"941,519","18,633,518"
Doechii,NISSAN ALTIMA,,121,1,13,"1,624,204","18,632,942"
Bizarrap,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",,82,1,20,"1,137,168","18,621,118"
The Cranberries,Linger,,48,1,16,"1,364,338","18,619,404"
Becky Hill,Remember,,149,1,24,"851,273","18,608,048"
Lana Del Rey,High By The Beach,,55,1,62,"512,606","18,601,985"
Israel & Rodolffo,Faz Amor Comigo Só Hoje - Ao Vivo,,91,1,21,"1,077,285","18,594,528"
Bad Bunny,LOS PITS,,18,1,9,"5,211,846","18,555,124"
Selena Gomez,Me & The Rhythm,,56,1,65,"576,041","18,553,077"
Camilo,Por Primera Vez,,97,1,26,"986,012","18,550,098"
Karan Aujla,"Tauba Tauba (From ""Bad Newz"")",,50,1,10,"2,187,519","18,544,833"
Mud,Lonely This Christmas,,95,1,13,"2,060,029","18,541,143"
Juice WRLD,Up Up And Away,,24,1,14,"2,900,842","18,538,676"
Olivia Rodrigo,teenage dream,,23,1,10,"3,503,953","18,537,411"
Lorde,Homemade Dynamite - REMIX,,95,1,27,"798,983","18,535,920"
The Rudeboyz,Dile la Verdad,,144,1,27,"811,694","18,517,695"
Zara Larsson,Don't Worry Bout Me,,94,1,25,"1,097,512","18,487,210"
Jason Derulo,Talk Dirty,,103,1,109,"335,490","18,459,909"
Lewis Capaldi,Wish You The Best,,100,1,15,"1,466,412","18,443,661"
Selena Gomez,My Mind & Me,,67,1,14,"2,055,065","18,442,874"
JACKBOYS,GANG GANG,1.0,10,1,16,"3,197,985","18,433,179"
BTS,Stay Gold,,25,1,21,"2,028,372","18,431,613"
Tainy,PASIEMPRE,,71,1,14,"1,975,310","18,375,223"
Drake,Texts Go Green,1.0,7,1,9,"5,481,655","18,372,413"
Jung Kook,Please Don't Change,,23,1,11,"3,024,882","18,369,721"
Juice WRLD,Man Of The Year,,31,1,15,"2,587,103","18,328,631"
Ariana Grande,the light is coming,,38,1,19,"1,823,147","18,326,707"
Lola Indigo,EL TONTO,,121,1,15,"1,436,247","18,325,593"
The Weeknd,Escape From LA,,12,1,13,"3,692,505","18,325,480"
Seeb,Drink About,,115,1,29,"794,940","18,319,467"
ROSALÍA,BIZCOCHITO,,118,1,21,"1,029,837","18,310,047"
dj sv,Mtg Forró e Desmantelo,,81,1,13,"1,771,514","18,289,370"
Trippie Redd,1400 / 999 Freestyle,,62,1,23,"1,270,457","18,277,639"
Justin Bieber,Beauty And A Beat,,144,1,15,"1,490,932","18,276,994"
Eminem,Brand New Dance,,16,1,8,"4,490,498","18,276,098"
Eminem,Nice Guy,,37,1,17,"2,084,256","18,273,729"
GELO,Tweaker,,119,1,14,"1,549,267","18,271,151"
BLACKPINK,DDU-DU DDU-DU,,37,1,18,"1,317,999","18,267,012"
SZA,Special,,48,1,11,"2,452,940","18,256,389"
Ball Brothers,Tweaker,,64,1,10,"2,209,381","18,248,769"
Calvin Harris,Under Control,,87,1,108,"282,715","18,247,333"
Gusttavo Lima,Termina Comigo Antes,,124,1,21,"1,018,597","18,233,890"
Kanye West,Use This Gospel,,14,1,12,"2,989,992","18,230,812"
Twenty One Pilots,Chlorine,,59,1,25,"1,403,903","18,229,982"
Huncho Jack,Saint,,62,1,29,"1,307,668","18,210,172"
Ed Sheeran,BLOW,,37,1,19,"1,912,375","18,200,074"
Jason Derulo,Cheyenne,,83,1,63,"363,925","18,185,525"
Ariana Grande,safety net,,14,1,14,"3,432,394","18,185,389"
Fetty Wap,RGF Island,,55,1,51,"607,442","18,162,549"
Anuel AA,Mejor Que Yo,,39,1,11,"2,217,616","18,154,509"
Metallica,Enter Sandman - Remastered 2021,,187,1,15,"1,293,134","18,152,052"
KAROL G,Milagros,,100,1,13,"1,662,401","18,146,750"
James Arthur,Falling like the Stars,,122,1,25,"905,459","18,126,954"
"Osmani Garcia ""La Voz""",El Taxi,,82,1,71,"355,699","18,126,585"
The Beatles,Now And Then,,15,1,9,"3,551,063","18,123,873"
Fuego,Una Vaina Loca,,119,1,21,"1,052,500","18,120,558"
Luísa Sonza,CACHORRINHAS,,81,1,19,"1,275,418","18,103,938"
UZI,Şarkılar Sokaklara Ait,,40,1,11,"2,287,791","18,096,193"
Adele,Woman Like Me,,16,1,11,"3,648,539","18,092,376"
Ricky Martin,La Mordidita,,102,1,80,"332,861","18,083,641"
A$AP Rocky,A$AP Forever,,53,1,22,"1,352,628","18,083,336"
Juice WRLD,Let Me Know (I Wonder Why Freestyle),,89,1,21,"1,211,009","18,079,190"
BLACKPINK,You Never Know,,25,1,16,"2,847,863","18,075,363"
Olivia Rodrigo,so american,,36,1,11,"2,677,213","18,066,072"
Chris Brown,Pills & Automobiles,,146,1,36,"596,466","18,059,679"
Taylor Swift,22 (Taylor's Version),,13,1,11,"3,911,785","18,029,672"
Juju,Kein Wort,,72,1,18,"1,515,894","18,024,467"
Little Mix,Sweet Melody,,104,1,22,"1,016,495","18,024,009"
BLACKPINK,Yeah Yeah Yeah,,14,1,11,"3,557,573","18,023,622"
Luan Santana,ABALO EMOCIONAL - Ao Vivo,,99,1,21,"1,094,101","18,014,821"
Christian Nodal,Se Me Olvidó,,66,1,20,"1,566,311","18,014,181"
Marshmello,Spotlight,,74,1,27,"1,090,807","17,986,820"
Sam Smith,Burning,,51,1,26,"1,210,981","17,983,338"
Ozuna,La Modelo,,154,1,33,"662,630","17,978,954"
Young Miko,Lisa,,77,1,15,"1,574,301","17,969,434"
Taylor Swift,The Manuscript,,41,1,8,"4,144,642","17,968,746"
Travis Scott,5% TINT,,13,1,14,"3,483,660","17,957,104"
Lil Uzi Vert,Flooded The Face,1.0,4,1,10,"4,361,148","17,944,167"
Fedez,BATTITO,,73,1,11,"2,026,474","17,939,752"
Kanye West,I Thought About Killing You,1.0,9,1,13,"3,246,306","17,928,724"
Drake,Glow,,26,1,17,"2,388,535","17,928,157"
The Weeknd,All I Know,,35,1,24,"1,236,872","17,922,365"
Taylor Swift,hoax,,23,1,14,"3,061,511","17,899,475"
Trueno,FEEL ME??,,148,1,22,"928,072","17,875,589"
Drake,Amen,1.0,8,1,7,"6,213,617","17,856,788"
The Kid LAROI,ALWAYS DO,,125,1,23,"922,125","17,852,103"
Kanye West,Junya,,16,1,10,"3,816,794","17,845,221"
Victor Mendivil,Orula,,88,1,13,"1,647,536","17,831,424"
Billie Eilish,Getting Older,,15,1,14,"2,911,930","17,827,966"
Udo Lindenberg,Komet,,110,1,16,"1,358,154","17,811,373"
21 Savage,Immortal,,49,1,21,"1,321,449","17,805,139"
TOMORROW X TOGETHER,Sugar Rush Ride,,38,1,13,"2,216,222","17,804,350"
KAROL G,Punto G,,119,1,26,"857,360","17,793,447"
Annalisa,Sinceramente,,73,1,11,"1,831,115","17,784,333"
Ariana Grande,Hampstead,,33,1,10,"2,904,345","17,782,067"
ROSALÍA,CANDY,,35,1,15,"1,791,100","17,778,433"
J. Cole,BRACKETS,,18,1,13,"3,663,309","17,773,711"
J. Cole,a p p l y i n g . p r e s s u r e,1.0,8,1,9,"5,289,824","17,754,744"
Camilo,KESI - Remix,,88,1,21,"1,280,173","17,752,815"
Ariana Grande,test drive,,17,1,14,"2,362,819","17,750,658"
Joyner Lucas,Ramen & OJ,,127,1,23,"937,059","17,750,627"
Red Velvet,Feel My Rhythm,,56,1,19,"1,254,860","17,743,072"
Taylor Swift,The Story Of Us (Taylor's Version),1.0,9,1,7,"6,000,102","17,734,508"
Fetty Wap,Wake Up,,136,1,55,"388,371","17,723,273"
Nicki Minaj,Red Ruby Da Sleeze,,89,1,14,"1,621,378","17,722,969"
Plan B,Fanática Sensual,,153,1,84,"247,263","17,722,830"
Ezhel,Nerdesin,,131,1,20,"952,238","17,715,682"
Justin Bieber,Get Used To It,,51,1,42,"927,334","17,697,809"
Sarah Cothran,As the World Caves In,,151,1,24,"770,162","17,682,130"
Kendrick Lamar,Black Panther,,15,1,19,"2,305,438","17,676,999"
Olly Murs,Up,,108,1,90,"263,328","17,671,922"
Travis Scott,MAFIA,,11,1,11,"3,697,325","17,668,670"
Don Toliver,Had Enough,,14,1,16,"3,031,179","17,662,473"
Sam Hunt,House Party,,87,1,62,"341,614","17,659,569"
Kanye West,Remote Control,,22,1,10,"3,701,865","17,652,400"
Beyoncé,LEVII'S JEANS,,22,1,9,"3,375,681","17,651,494"
Mariah Carey,Oh Santa!,,65,1,11,"2,398,025","17,629,522"
Nicki Minaj,No Frauds,,57,1,25,"1,256,066","17,627,854"
J. Cole,The Cut Off,,11,1,12,"4,096,113","17,625,597"
Lil Tecca,REPEAT IT,,110,1,21,"1,001,302","17,614,408"
Kanye West,FUK SUMN,3.0,3,1,5,"4,569,802","17,610,693"
Drake,Jumbotron Shit Poppin,,22,1,9,"3,952,012","17,604,473"
Galantis,Bones,,95,1,22,"1,004,384","17,583,158"
Anita Kerr Singers,Jingle Bell Rock,,59,1,23,"1,063,568","17,579,388"
Ariana Grande,shut up,1.0,7,1,13,"4,253,903","17,572,218"
Drake,8am in Charlotte,,24,1,8,"3,786,515","17,558,641"
DJ Khaled,I Got the Keys,,121,1,51,"423,143","17,554,842"
Taylor Swift,Call It What You Want,,37,1,22,"1,577,884","17,542,601"
Matthew Wilder,Break My Stride,,104,1,21,"1,005,122","17,533,694"
Oasis,Don't Look Back in Anger - Remastered,,42,1,11,"2,470,140","17,503,491"
Felipe Amorim,Eu Vou na Sua Casa,,82,1,13,"1,702,884","17,496,302"
BLACKPINK,Tally,,17,1,11,"3,126,725","17,494,852"
Playboi Carti,K POP,,11,1,7,"6,216,354","17,489,185"
Emilia,Como Si No Importara,,137,1,22,"898,886","17,475,438"
Drake,Nothings Into Somethings,,28,1,17,"2,263,303","17,468,632"
Kanye West,24,,20,1,10,"3,715,425","17,462,589"
XXXTENTACION,infinity (888),,47,1,20,"1,575,635","17,446,707"
Capital Bra,Benzema,,106,1,23,"1,125,456","17,443,535"
UMI,wherever u r,,46,1,12,"2,035,889","17,439,233"
The Weeknd,A Lonely Night,,31,1,21,"1,331,334","17,437,491"
Jorge & Mateus,Paradigmas,,109,1,21,"992,477","17,424,563"
Taylor Swift,Mean (Taylor's Version),1.0,10,1,7,"5,990,735","17,415,414"
Alesso,Heroes (we could be),,43,1,30,"659,895","17,405,115"
Taylor Swift,ivy,,15,1,10,"3,768,222","17,387,924"
RM,Come back to me,,23,1,9,"3,335,141","17,384,963"
Ozzy Osbourne,No More Tears,,20,1,10,"3,051,364","17,383,863"
Justin Timberlake,Selfish,,92,1,13,"1,625,103","17,374,033"
ScHoolboy Q,CHopstix,,66,1,20,"1,287,930","17,365,424"
Billie Eilish,Billie Bossa Nova,,24,1,14,"2,572,488","17,352,203"
Joker Bra,Baby,,73,1,19,"1,201,937","17,349,845"
Post Malone,Internet,,26,1,14,"2,651,039","17,341,701"
Drake,Yebba’s Heartbreak,,16,1,9,"5,360,212","17,335,719"
Twenty One Pilots,Nico And The Niners,,49,1,21,"1,460,409","17,325,345"
BTS,Filter,,33,1,15,"2,217,097","17,319,487"
Ariana Grande,Saturn Returns Interlude,,23,1,8,"3,632,443","17,308,222"
Justin Bieber,THINGS YOU DO,1.0,9,1,8,"4,504,345","17,306,136"
Thomas Rhett,Die A Happy Man,,86,1,60,"381,379","17,288,922"
Meek Mill,Sharing Locations,,79,1,20,"1,212,277","17,270,017"
J. Cole,Change,,18,1,19,"2,014,369","17,259,363"
Selena Gomez,How Does It Feel To Be Forgotten,,103,1,13,"1,535,120","17,238,565"
Lil Wayne,Can't Be Broken,1.0,10,1,13,"3,577,146","17,208,121"
Kanye West,Pure Souls,,24,1,11,"3,336,394","17,206,401"
Kygo,I'll Wait,,50,1,22,"1,353,320","17,201,594"
Vince Guaraldi Trio,O Tannenbaum,,64,1,10,"2,214,476","17,194,513"
Mora,DROGA,,68,1,12,"1,777,028","17,194,179"
Calvin Harris,I Need Your Love,,123,1,107,"283,367","17,180,152"
Calum Scott,You Are The Reason,,136,1,28,"696,761","17,138,730"
Kanye West,No Mistakes,,15,1,13,"2,907,848","17,137,287"
