Artist,Song,Days in top10,Peak,Days on peak,Days,PkStreams,Total
Mora,AIRBNB,,135,1,1,"1,287,335","1,287,335"
Sfera Ebbasta,Male,,81,1,1,"1,286,253","1,286,253"
Duki,antes de perderte (OG VERSION),,163,1,1,"1,285,973","1,285,973"
Kenny Man,Ni Gucci Ni Prada,,196,1,2,"646,472","1,285,949"
Helene Fischer,Rudolph The Red-Nosed Reindeer,,174,1,1,"1,285,882","1,285,882"
Metallica,Lux Æterna,,99,1,1,"1,285,575","1,285,575"
Sfera Ebbasta,Gol,,181,1,1,"1,285,302","1,285,302"
Wiz Khalifa,Real Rich,,173,1,2,"666,958","1,285,105"
Ícaro e Gilmar,Diferentona,,186,1,1,"1,285,037","1,285,037"
Young Thug,Want Me Dead,,164,1,1,"1,285,035","1,285,035"
Bryson Tiller,Years Go By,,87,1,1,"1,283,845","1,283,845"
David Bowie,Dollar Days,,66,1,3,"603,869","1,282,612"
Morgan Sulele,Bare min,,178,1,7,"201,928","1,282,353"
John Lundvik,Too Late For Love,,164,1,2,"654,595","1,282,044"
Nicki Minaj,Thought I Knew You,,125,1,2,"738,268","1,281,804"
Mora,AYER Y HOY,,144,1,1,"1,280,738","1,280,738"
Luísa Sonza,Campo De Morango,,140,1,1,"1,280,095","1,280,095"
Camila Cabello,Real Friends,,138,1,2,"735,154","1,279,152"
Future,WE JUS WANNA GET HIGH,,79,1,1,"1,278,820","1,278,820"
Mora,MIL VIDAS,,178,1,1,"1,278,206","1,278,206"
Feid,RITMO DE MEDALLO,,160,1,1,"1,277,962","1,277,962"
Leonard Cohen,You Want It Darker,,62,1,2,"822,899","1,277,304"
Sam Smith,VULGAR,,166,1,1,"1,277,288","1,277,288"
Clayton & Romário,Aproveita - Ao Vivo,,193,1,1,"1,276,320","1,276,320"
Pinguini Tattici Nucleari,Ringo Starr,,198,1,2,"657,926","1,276,214"
Damso,LIFE LIFE,,64,1,1,"1,274,718","1,274,718"
Eladio Carrion,El Reggaetón del Disco,,190,1,1,"1,274,194","1,274,194"
Trippie Redd,Dark Knight Dummo,,159,1,2,"701,239","1,274,027"
Don McLean,American Pie,,172,1,1,"1,273,885","1,273,885"
Niall Horan,The Show,,169,1,1,"1,272,272","1,272,272"
Lil Uzi Vert,Zoom (Bonus Track),,191,1,1,"1,271,834","1,271,834"
Arctic Monkeys,The Car,,129,1,1,"1,271,694","1,271,694"
Capital Bra,Fightclub,,162,1,2,"712,522","1,271,633"
Michael Schulte,You Let Me Walk Alone,,126,1,2,"677,328","1,271,569"
JENNIE,Intro : JANE with FKJ,,190,1,1,"1,270,571","1,270,571"
MC Kevin o Chris,Evoluiu,,178,1,2,"682,254","1,270,100"
Mora,MAREA,,150,1,1,"1,269,026","1,269,026"
Brent Faiyaz,"GRAVITY (FEAT. TYLER, THE CREATOR)",,73,1,1,"1,267,840","1,267,840"
Mc Livinho,Hoje Eu Vou Parar Na Gaiola,,175,1,2,"688,615","1,266,318"
Mora,DE PAQUETE,,182,1,1,"1,266,233","1,266,233"
Lana Del Rey,"Paris, Texas",,164,1,1,"1,264,434","1,264,434"
Brent Faiyaz,VILLAIN'S THEME,,75,1,1,"1,264,371","1,264,371"
Lavern,ANARCHY,,183,1,1,"1,263,710","1,263,710"
Pressure 9X19,VVS Switch,,196,1,1,"1,263,340","1,263,340"
"Tyler, The Creator",WHAT A DAY,,159,1,1,"1,262,431","1,262,431"
Olivia Dean,Dive,,189,1,1,"1,262,071","1,262,071"
Patrick Watson,Je te laisserai des mots,,196,1,1,"1,261,005","1,261,005"
BTS,Boy In Luv,,103,1,1,"1,260,792","1,260,792"
Shawn Mendes,Call My Friends,,103,1,1,"1,260,706","1,260,706"
Grupo Frontera,Hecha Pa' Mí,,196,1,1,"1,260,540","1,260,540"
¥$,HOODRAT,,179,1,1,"1,260,289","1,260,289"
BTS,N.O,,104,1,1,"1,259,950","1,259,950"
Zach Bryan,"Pain, Sweet, Pain",,178,1,1,"1,259,861","1,259,861"
Manu Gavassi,Deve ser horrível dormir sem mim,,187,1,2,"677,687","1,259,796"
Zara Larsson,On My Love,,176,1,1,"1,259,693","1,259,693"
Drake,Blue Green Red,,188,1,1,"1,259,268","1,259,268"
Shawn Mendes,Dream,,104,1,1,"1,259,100","1,259,100"
Stray Kids,Charmer,,72,1,1,"1,258,884","1,258,884"
Eladio Carrion,¿Qué Carajos Quieres Tú Ahora?,,160,1,1,"1,258,878","1,258,878"
Ed Sheeran,Bad Habits,,75,1,1,"1,257,665","1,257,665"
Lil Durk,Pelle Coat,,172,1,1,"1,256,006","1,256,006"
Ninho,VVS,,94,1,1,"1,255,496","1,255,496"
Addison Rae,New York,,180,1,1,"1,254,547","1,254,547"
Shaggy,It Wasn't Me,,153,1,2,"718,016","1,254,108"
G-Eazy,The Beautiful & Damned,,148,1,2,"652,234","1,251,765"
One Direction,Little Things,,69,1,1,"1,251,524","1,251,524"
Lana Del Rey,Say Yes To Heaven - Sped Up,,166,1,1,"1,251,463","1,251,463"
MikkyZia,Aku Dah Lupa,,185,1,1,"1,251,169","1,251,169"
Lil Wayne,Hip-Hop,,181,1,1,"1,251,094","1,251,094"
Dixie,Be Happy,,193,1,2,"636,621","1,250,493"
Peso Pluma,SU CASA,,181,1,1,"1,250,142","1,250,142"
Johnny Mathis,It's Beginning to Look Like Christmas,,196,1,1,"1,249,008","1,249,008"
Emma Stone,Someone In The Crowd,,165,1,3,"454,332","1,248,713"
Tainy,FANTASMA | AVC,,199,1,1,"1,248,642","1,248,642"
ABBA,When You Danced With Me,,70,1,1,"1,248,604","1,248,604"
Stray Kids,GET LIT,,177,1,1,"1,248,468","1,248,468"
J Balvin,Ginza - Remix,,158,1,5,"268,283","1,248,270"
Salvador Sobral,Amar pelos Dois,,99,1,2,"696,481","1,248,126"
Future,Zoom,,99,1,2,"741,598","1,247,898"
Damso,Π. VANTABLACK,,57,1,1,"1,247,804","1,247,804"
